OSMPTrailsOSMPOBJECTID,OSMPTrailsOSMPOWNER,OSMPTrailsOSMPBICYCLES,OSMPTrailsOSMPDISPLAY,OSMPTrailsOSMPTRAILTYPE,OSMPTrailsOSMPDATEFROM,OSMPTrailsOSMPDATETO,OSMPTrailsOSMPSEGMENTID,OSMPTrailsOSMPHORSES,OSMPTrailsOSMPRID,OSMPTrailsOSMPTRLID,OSMPTrailsOSMPMILEAGE,OSMPTrailsOSMPMEASUREDFEET,OSMPTrailsOSMPTRAILNAME,OSMPTrailsOSMPGlobalID,OSMPTrailsOSMPDIFFICULTY,OSMPTrailsOSMPDOGS,OSMPTrailsOSMPDOGREGGEN,OSMPTrailsOSMPDOGREGDESC,OSMPTrailsOSMPEBIKES,SHAPESTLength,OSMPTrailClosuresOBJECTID,OSMPTrailClosuresRID,OSMPTrailClosuresCLOSUREDURATION,OSMPTrailClosuresWEBLINK,OSMPTrailClosuresCLOSUREAREA,OSMPTrailClosuresTRAILSTATUS,OSMPTrailClosuresCLOSUREREASON,OSMPTrailClosuresLOCATIONDESCRIPTION,OSMPTrailClosuresCONTACT,OSMPTrailClosuresCOMMENTS,OSMPTrailClosuresGLOBALID,OSMPTrailClosuresSEGMENTID
3082,OSMP,No,Yes,Hiking Trail,2019/05/31 00:00:00+00,2099/12/31 00:00:00+00,216-046-043,Yes,1686,216,0.405,628,Shanahan Connector,{7F1F502D-DBFA-4D2B-8EB4-CA918851E0EB},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,2137.427953,1558,1686,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{558C0495-9F84-4BD7-A3B9-A3F2F9A572F9},216-046-043
3083,OSMP,No,Yes,Hiking Trail,2021/01/20 00:00:00+00,2099/12/31 00:00:00+00,217-043-044,Yes,1865,217,0.622,,North Fork Shanahan,{1B95ED89-E59B-4610-917A-E1C2B9F19D3E},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",No,3283.644472,1614,1865,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{27E0D887-1751-4F8F-AB36-7E81C3EB97F3},217-043-044
3084,OSMP,No,Yes,Hiking Trail,2019/06/17 00:00:00+00,2099/12/31 00:00:00+00,217-039-043,Yes,1688,217,0.187,997,North Fork Shanahan,{7D97BA12-D876-4C5B-9C4A-8D2A08C36C61},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,989.5581105,1559,1688,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{8C18A161-438B-4C9F-9D12-26C485EB5A6E},217-039-043
3086,OSMP,No,Yes,Hiking Trail,2019/06/17 00:00:00+00,2099/12/31 00:00:00+00,217-035-037,Yes,1690,217,0.163,849,North Fork Shanahan,{1FEFFD0C-C195-4CD8-A861-B12B667C3623},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,859.9107743,1561,1690,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{1090345A-6B9A-4824-96D2-FF2F0C6BCDD4},217-035-037
3087,OSMP,No,Yes,Hiking Trail,2019/06/17 00:00:00+00,2099/12/31 00:00:00+00,218-036-035,Yes,1691,218,0.096,459,Hardscrabble Connector,{FBB95E44-5092-4096-8E62-682DFC5A3F61},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,504.5749348,1562,1691,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{DB1809C6-F912-463E-9F94-8F3D0CF36EAA},218-036-035
3088,NCAR,No,Yes,Hiking Trail,2019/08/05 00:00:00+00,2099/12/31 00:00:00+00,234-096-097,No,1751,234,0.535,2887,NCAR - Table Mesa,{31B8C16F-1AEA-4EB1-BFC1-858AD6EC2883},Moderate,Yes,LR,Leash Required,No,2839.270526,1563,1751,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,There is a fire on city open space near NCAR in south Boulder.  Stay away from the area.,{D4A77B75-6FB3-4058-9B0C-3088D38EDAAD},234-096-097
3089,NCAR,No,Yes,Hiking Trail,2019/08/05 00:00:00+00,2099/12/31 00:00:00+00,233-097-098,No,1752,233,0.514,2676,NCAR - Table Mesa Bear,{E1BBD3AF-EEFF-4AA1-AC3C-28064B759827},Easy,Yes,LR,Leash Required,No,2731.970379,1564,1752,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,There is a fire on city open space near NCAR in south Boulder.  Stay away from the area.,{5C76023A-2B38-444C-97FF-81E74F53BB0C},233-097-098
3090,NCAR,No,Yes,Hiking Trail,2019/08/06 00:00:00+00,2099/12/31 00:00:00+00,232-098-099,No,1753,232,0.009,64,NCAR - Bear Connector,{420A3624-FA25-4E51-BF1C-5C556DF00828},Easy,Yes,LR,Leash Required,No,47.85181024,1048,1753,Until Further Notice,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed for NCAR Fire,{0D0E1140-D219-4D02-A2EC-09386A38FB63},232-098-099
3091,OSMP,No,Yes,Hiking Trail,2019/08/06 00:00:00+00,2099/12/31 00:00:00+00,219-034-035,Yes,1754,219,0.355,1875,Lehigh Connector - South,{AA65F5D1-A79D-446A-B703-1CF0EB7F2A3A},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,1873.658006,1565,1754,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,,{3780AA42-7EC0-4E47-A21C-61A67E977BE5},219-034-035
3092,OSMP,No,Yes,Hiking Trail,2019/08/06 00:00:00+00,2099/12/31 00:00:00+00,215-035-009,Yes,1755,215,0.212,1112,South Fork Shanahan,{57F49E92-AC7A-437C-9523-FA86C71A3111},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",No,1119.360384,1566,1755,,,,Open,Maintenance,,https://bouldercolorado.gov/services/osmp-closures,Closed to Support Fire Operations near Shanahan Ridge,{1C1B35D2-BFC9-46FC-93A8-18C3A5FFDD0D},215-035-009
