object_id,owner,bicycles,display,trail_type,date_from,date_to,segment_id,horses,rid,trail_id,length_miles,length_feet,trail_name_x,global_id,difficulty,dogs,dog_regulation_general,dog_regulation_description,ebikes,geometry_length,dog_access,trail_name_y,latitude,longitude
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.11143074475419,-105.3066130493457
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2682,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,2167,417,0.04,203.0,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,No,208.7285103,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.111094172870104,-105.30645195221648
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.11117813524102,-105.30686196754283
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.11169344904483,-105.30695055988923
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.11143074475419,-105.3066130493457
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2683,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,2168,417,0.048,253.0,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,No,251.109636,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.111094172870104,-105.30645195221648
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.11117813524102,-105.30686196754283
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.11169344904483,-105.30695055988923
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.11143074475419,-105.3066130493457
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2684,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,2170,417,0.01,52.0,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,No,51.38725073,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.111094172870104,-105.30645195221648
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.11117813524102,-105.30686196754283
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.11169344904483,-105.30695055988923
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.11143074475419,-105.3066130493457
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2685,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,2172,417,0.004,20.0,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Easy,Yes,LR,Leash Required,No,18.81792299,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.111094172870104,-105.30645195221648
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.11117813524102,-105.30686196754283
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.11169344904483,-105.30695055988923
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.11143074475419,-105.3066130493457
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.111466896785245,-105.30666110785232
2686,OSMP,No,Yes,Hiking Trail,2022/08/17 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,2173,417,0.022,117.0,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,No,116.697332,leash_required,Buckingham Park,40.11158292125364,-105.30656232565453
